"<ID|readonly|noverify>";"<English>";"<French>";"<Italian>";"<German>";"<Spanish>";"<Russian>";"<Polish>";"<Czech>";"<Turkish>";"<Chinese>";"<Japanese>";"<Portuguese>";"<Ukrainian>";"<Serbian>";"<Hungarian>";"<Korean>";"<Belarusian>";"<Romanian>";"<TChinese>";"<HChinese>";"<Vietnamese>";"<Comments>";"<max_chars>"
"attachables/decor_dakimakura_anime_french";"Liberty Belle dakimakura";"Dakimakura Liberty Belle";"Dakimakura Liberty Belle";"""Liberty Belle"" dakimakura";"Dakimakura Doncella de la Libertad";"Дакимакура ""Либерти Белль""";"Dakimakura Belle Wolności";"Liberty Belle dakimakura";"Liberty Belle dakimakura";"自\t由\t女\t郎\t等\t身\t抱\t枕";"リバティベル\t抱き\t枕";"Dakimakura Liberty Belle";"Ліберті Белль Дакімакура";"Liberty Belle dakimakura";"Liberty Belle dakimakura";"""유즈키"" 다키마쿠라";"Дакимакура ""Либерти Белль""";"Liberty Belle dakimakura";"自\t由\t女\t郎\t等\t身\t抱\t枕";"Liberty Belle dakimakura";"Gối ôm Liberty Belle";;
"attachables/decor_dakimakura_anime_german";"Panzer Princess dakimakura";"Dakimakura Panzer Princess";"Dakimakura Principessa Panzer";"""Panzer Prinzessin"" dakimakura";"Dakimakura Princesa Panzer";"Дакимакура ""Панцер-принцесса""";"Dakimakura Pancerna Księżniczka";"Panzer Princess dakimakura";"Panzer Princess dakimakura";"战\t车\t公\t主\t等\t身\t抱\t枕";"パンツァープリンセス\t抱き\t枕";"Dakimakura Panzer Princess";"Принцесса Танк Дакімакура";"Panzer Princess dakimakura";"Panzer Princess dakimakura";"""안나"" 다키마쿠라";"Дакимакура ""Панцер-принцесса""";"Panzer Princess dakimakura";"戰\t車\t公\t主\t等\t身\t抱\t枕";"Panzer Princess dakimakura";"Gối ôm Panzer Princess";;
"attachables/red_army_hat";"Budenovka";"Boudionovka";"Budenovka";"Budenovka";"Budenovka";"Будёновка";"Budionnówka";"Budenovka";"Budenovka";"布\t琼\t尼\t帽";"ブジョノフカ";"Budiónovka";"Будьонівка";"Budenovka";"Budenovka";"부덴노브카";"Будёновка";"Budenovka";"布\t瓊\t尼\t帽";"Budenovka";"Budenovka";;
"attachables/decor_goalkeeper_cup";"Best Footballer 2024";"Meilleur footballeur 2024";"Miglior Calciatore 2024";"Bester Fußballer 2024";"Mejor Futbolista 2024";"Лучший футболист 2024";"Najlepszy Piłkarz 2024";"Nejlepší fotbalista 2024";"En İyi Futbolcu 2024";"2024 最\t佳\t足\t球\t运\t动\t员";"ベストサッカープレイヤー\t2024";"Melhor Futebolista 2024";"Найкращий футболіст 2024";"Best Footballer 2024";"Best Footballer 2024";"2024년 최고의 축구인";"Лучший футболист 2024";"Best Footballer 2024";"2024 最\t佳\t足\t球\t員";"Best Footballer 2024";"Cầu thủ xuất sắc nhất 2024";;
"attachables/decor_wheel_spike_md";"Spikes";"Pics";"Aculei";"Stachel";"Pinchos";"Шипы";"Kolce";"Ostny";"Kazıklar";"尖\t刺\t装\t甲";"スパイク";"Espigões";"Шипи";"Spikes";"Spikes";"스파이크";"Шипы";"Spikes";"尖\t刺\t裝\t甲";"Spikes";"Gai";;
"attachables/decor_metal_flame_md";"Iron Flame";"Flammes de fer";"Fiamma di Ferro";"Eisenflamme";"Llama de Hierro";"Железное пламя";"Żelazny Płomień";"Železný plamen";"Demir Ateş";"铁\t血\t烈\t焰";"アイアン・フレイム";"Chama de Ferro";"Залізне полум'я";"Iron Flame";"Iron Flame";"철제 불꽃";"Железное пламя";"Iron Flame";"鐵\t血\t烈\t焰";"Iron Flame";"Lửa Sắt";;
"attachables/pf_98";"Anti-tank rocket launcher (China)";"Lance-roquettes antichar PF-98";"Lanciarazzi anticarro PF-98 (Cina)";"Panzerabwehr-Raketenwerfer (China)";"Lanzacohetes antitanque (China)";"Противотанковый гранатомёт (Китай)";"Wyrzutnia pocisków przeciwpancernych (Chiny)";"Odpalovač protitankových raket (Čína)";"Tanksavar roketatar (Çin)";"PF98 反\t坦\t克\t火\t箭\t筒";"対戦車\tロケットランチャー（中国）";"Lançador de foguetes Antitanque (China)";"Протитанкова ракетна установка (Китай)";"Protivtenkovski raketni bacač (Kina)";"Anti-tank rocket launcher (China)";"대전차 로켓 발사기 (중국)";"Противотанковый гранатомёт (Китай)";"Anti-tank rocket launcher (China)";"PF98 反\t坦\t克\t火\t箭\t筒";"Anti-tank rocket launcher (China)";"Ống phóng rocket chống tăng (Trung Quốc)";;
"attachables/decor_sweden_navy_shield";"Swedish Navy emblem";"Emblème de la Marine suédoise";"Stemma della Marina Svedese";"Emblem der schwedischen Marine";"Emblema de la Marina Sueca";"Эмблема ВМС Швеции";"Emblemat Szweckiej Marynarki";"Emblém Švédského námořnictva";"İsveç Donanması amblemi";"瑞\t典\t海\t军\t盾\t徽";"スウェーデン\t海軍の\t記章";"Emblema da Marinha Sueca";"Емблема ВМС Швеції";"Amblem Švedske mornarice";"Swedish Navy emblem";"스웨덴 해군 엠블럼";"Эмблема ВМС Швеции";"Swedish Navy emblem";"瑞\t典\t海\t軍\t盾\t徽";"Swedish Navy emblem";"Quân huy Hải quân Thuỵ Điển";;
"attachables/rk_62";"Modern assault rifle (Finland)";"RK 62 (Finlande)";"Fucile d'assalto RK 62 (Finlandia)";"Modernes Sturmgewehr (Finnland)";"Rifle de asalto moderno (Finlandia)";"Современная штурмовая винтовка (Финляндия)";"Współczesny karabin szturmowy (Finlandia)";"Moderní útočná puška (Finsko)";"Modern saldırı tüfeği (Finlandiya)";"芬\t兰\t现\t代\t突\t击\t步\t枪";"現代的な\tアサルトライフル（フィンランド）";"Rifle de assalto moderno (Finlândia)";"Сучасна штурмова гвинтівка (Фінляндія)";"Moderna jurišna puška (Finska)";"Modern assault rifle (Finland)";"현대 돌격 소총 (핀란드)";"Современная штурмовая винтовка (Финляндия)";"Modern assault rifle (Finland)";"芬\t蘭\t現\t代\t突\t擊\t步\t槍 (RK 62)";"Modern assault rifle (Finland)";"Súng trường hiện đại (Phần Lan)";;
"attachables/karl_gustav";"Anti-tank rocket launcher (Sweden)";"Carl Gustav (Suède)";"Lanciarazzi anticarro Carl Gustav (Svezia)";"Panzerabwehr-Raketenwerfer (Schweden)";"Lanzacohetes antitanque (Suecia)";"Противотанковый гранатомёт (Швеция)";"Wyrzutnia pocisków przeciwpancernych (Szwecja)";"Odpalovač protitankových raket (Švédsko)";"Tanksavar roketatar (İsveç)";"m/86 无\t坐\t力\t炮";"対戦車\tロケットランチャー（スウェーデン）";"Lançador de foguetes Antitanque (Suécia)";"Протитанкова ракетна установка (Швеція)";"Protivtenkovski raketni bacač (Švedska)";"Anti-tank rocket launcher (Sweden)";"대전차 로켓 발사기 (스웨덴)";"Противотанковый гранатомёт (Швеция)";"Anti-tank rocket launcher (Sweden)";"m/86 無\t後\t座\t力\t炮";"Anti-tank rocket launcher (Sweden)";"Ống phóng rocket chống tăng (Thuỵ Điển)";;
"attachables/travel_gramophone";"Travel Gramophone";"Gramophone de voyage";"Grammofono da viaggio";"Reisegrammophon";"Gramófono de Viaje";"Дорожный граммофон";"Podróżny Gramofon";"Cestovní gramofon";"Seyahat Gramofonu";"便\t携\t式\t留\t声\t机";"携帯用蓄音機";"Gramofone de Viagem";"Дорожній грамофон";"Putni gramofon";"Travel Gramophone";"여행용 축음기";"Дорожный граммофон";"Travel Gramophone";"便\t攜\t式\t留\t聲\t機";"Travel Gramophone";"Máy hát du lịch";;
"attachables/m1921_thompson";"Tommy Gun";"Tommy Gun";"Tommy Gun";"Tommy Gun";"Tommy Gun";"Томми-ган";"Tommy Gun";"Samopal Tommy";"Tommy Gun";"汤\t米\t冲\t锋\t枪";"トミーガン";"Thompson";"Томмі-ган";"Tommy Gun";"Tommy Gun";"토미 건";"Томми-ган";"Tommy Gun";"湯\t米\t衝\t鋒\t槍";"Tommy Gun";"Súng Tommy";;
"attachables/decor_demolition_bomb";"""Flying Dustbin""";"""Poubelle volante""";"""Pattumiera Volante""";"""Fliegende Mülltonne""";"""Flying Dustbin""";"""Летающая урна""";"""Latający Śmietnik""";"""Létající popelnice""";"""Flying Dustbin""";"“飞\t行\t垃\t圾\t桶”";"「空飛ぶ\tゴミ\t箱」";"""Flying Dustbin""";"«Летюча урна»";"""Leteća kanta za smeće""";"""Flying Dustbin""";"""날아다니는 쓰레기통""";"""Летающая урна""";"""Flying Dustbin""";"“飛\t行\t垃\t圾\t桶”";"""Flying Dustbin""";"""Thùng rác bay""";;
"attachables/decor_auction";"Auctioneer’s gavel";"Marteau du commissaire-priseur";"Martelletto del banditore";"Auktionshammer";"Mazo del subastador";"Молоток аукциониста";"Młotek Licytatora";"Dražební kladívko";"Mezatçı Tokmağı";"拍\t卖\t锤";"競売人の\t小槌";"Martelo do leiloeiro";"Молоток аукціонера";"Auctioneer’s gavel";"Auctioneer’s gavel";"경매사의 망치";"Молоток аукциониста";"Auctioneer’s gavel";"拍\t賣\t鎚";"Auctioneer’s gavel";"Búa của nhà đấu giá";;
"attachables/pisang";"Banana";"Banane";"Banana";"Banane";"Banana";"Банан";"Banan";"Banán";"Muz";"大\t香\t蕉";"バナナ";"Banana";"Банан";"Banana";"Banana";"바나나";"Банан";"Banana";"大\t香\t蕉";"Banana";"Chuối";;
"attachables/seikat_pisang";"Bunch of bananas";"Troupeau de bananes";"Casco di banane";"Bündel von Bananen";"Racimo de bananas";"Гроздь бананов";"Kiść bananów";"Trs banánů";"Muz Demeti";"一\t把\t大\t香\t蕉";"バナナの\t房";"Cacho de bananas";"Пучок бананів";"Bunch of bananas";"Bunch of bananas";"바나나 송이";"Гроздь бананов";"Bunch of bananas";"一\t把\t大\t香\t蕉";"Bunch of bananas";"Nải chuối";;
"attachables/xm_29";"Selectable Assault Battle Rifle";"XM29 OICW";"Fucile d'Assalto Selezionabile";"Sturmgewehr";"Rifle de Batalla de Asalto Seleccionable";"Стрелково-гранатомётный комплекс";"Karabin Szturmowy";"Stavitelná útočná puška";"Seçilebilir Taarruz Muharebe Tüfeği";"理\t想\t单\t兵\t作\t战\t武\t器";"セレクタブルアサルトバトルライフル";"Rifle de Assalto Selecionável";"Вибір штурмової бойової гвинтівки";"Selectable Assault Battle Rifle";"Selectable Assault Battle Rifle";"복합 돌격소총";"Стрелково-гранатомётный комплекс";"Selectable Assault Battle Rifle";"理\t想\t單\t兵\t作\t戰\t武\t器";"Selectable Assault Battle Rifle";"Súng trường tấn công có thể lựa chọn";;
"attachables/decor_lldr_an_ped_1b";"Laser Designator Rangefinder";"Désignateur laser AN/PED-1B";"Disignatore Telemetrico Laser";"Laser-Zielentfernungsmesser";"Telémetro Designador Láser";"Лазерный целеуказатель-дальномер";"Dalmierz-Celownik Laserowy";"Laserový dálkoměr";"Lazer İşaretçili Mesafe Bulucu";"激\t光\t指\t示\t/\t测\t距\t仪";"レーザー\t目標指示装置";"Telémetro Designador Laser";"Лазерний далекомір";"Laser Designator Rangefinder";"Laser Designator Rangefinder";"레이저 지시/거리 측정기";"Лазерный целеуказатель-дальномер";"Laser Designator Rangefinder";"雷\t射\t指\t示\t/\t測\t距\t儀";"Laser Designator Rangefinder";"Máy đo khoảng cách chỉ định laser";;
"attachables/decor_davy_crockett";"Davy Crockett";"Davy Crockett";"Davy Crockett";"Davy Crockett";"Davy Crockett";"Дэви Крокетт";"Davy Crockett";"Davy Crockett";"Davy Crockett";"大\t卫·克\t洛\t科\t特\t核\t无\t坐\t力\t炮";"デイビー・クロケット";"Davy Crockett";"Деві Крокетт";"Davy Crockett";"Davy Crockett";"데이비 크로케트";"Дэви Крокетт";"Davy Crockett";"大\t衛·克\t洛\t科\t特\t核\t無\t坐\t力\t砲";"Davy Crockett";"Davy Crockett";;
"attachables/type98_shin_gunto_eight";"Hakkenden";"Hakkenden";"Hakkenden";"Hakkenden";"Hakkenden";"""1938 (Type 98) Officer Gendaito""";"Hakkenden";"Hakkenden";"Hakkenden";"八\t剑\t传";"八剣伝";"Hakkenden";"Hakkenden";"Hakkenden";"Hakkenden";"팔검전";"""1938 (Type 98) Officer Gendaito""";"Hakkenden";"八\t劍\t傳";"Hakkenden";"Hakkenden";;
"attachables/paris_general_hat";"General's kepi (France)";"Képi de général (France)";"Kepi del Generale (Francia)";"Kappe des Generals (Frankreich)";"Kepi de General (Francia)";"Генеральское кепи (Франция)";"Generalskie Kepi (Francja)";"Generálská képi (Francie)";"General kepi (Fransa)";"法\t国\t将\t官\t桶\t帽";"将軍用の\tケピ\t帽（フランス）";"Quepe de General (França)";"Генеральський картуз (Франція)";"General's kepi (France)";"General's kepi (France)";"장군의 케피 모자 (프랑스)";"Генеральское кепи (Франция)";"General's kepi (France)";"法\t國\t將\t官\t桶\t帽";"General's kepi (France)";"Nón của tướng (Pháp)";;
"attachables/tanks_general_hat";"Tank Forces General's Cap (USSR)";"Casquette de général des forces blindées (URSS)";"Berretto da Generale delle Forze Corazzate (URSS)";"Kappe des Panzertruppengenerals (UdSSR)";"Gorra de General de las Fuerzas de Tanques (URSS)";"Фуражка генерала танковых войск (СССР)";"Czapka Generała Sił Pancernych (ZSRR)";"Čepice tankového generála (SSSR)";"Tank Kuvvetleri Generali Kepi (SSCB)";"苏\t联\t坦\t克\t兵\t将\t官\t帽";"戦車部隊の\t将軍用の\t帽子（ソ\t連）";"Quepe de General de Força Blindada (URSS)";"Генеральський картуз танкових військ (СРСР)";"Tank Forces General's Cap (USSR)";"Tank Forces General's Cap (USSR)";"기갑부대 장군의 모자 (소련)";"Фуражка генерала танковых войск (СССР)";"Tank Forces General's Cap (USSR)";"蘇\t聯\t坦\t克\t兵\t將\t官\t帽";"Tank Forces General's Cap (USSR)";"Mũ của Tướng lực lượng thiết giáp (Liên Xô)";;
"attachables/he_fs_gold";"Golden HE";"HE Dorée";"HE dorata";"Golden HE";"HE Dorado";"Золотой фугас";"Złote HE";"Zlatý HE";"Altın HE";"黄\t金\t高\t爆\t弹";"ゴールデン\tHE";"HE Dourada";"Золотий фугас";"Golden HE";"Golden HE";"황금빛 고폭탄";"Золотой фугас";"Golden HE";"黃\t金\t高\t爆\t彈";"Golden HE";"HE vàng";;
"attachables/decor_mantelet";"Mantelet";"Mantelet";"Mantello";"Mantelet";"Mantelete";"Мантелет";"Mantylka";"Mantelet";"Mantelet";"防\t护\t沙\t袋";"マントレット";"Mantelete";"Мантелет";"Mantelet";"Mantelet";"만텔렛";"Мантелет";"Mantelet";"防\t彈\t盾";"Mantelet";"Mantelet";;
"attachables/tuhao_heygirl";"Tuhao Heygirl";"Tuhao Heygirl";"Tuhao Heygirl";"Tuhao Heygirl";"Heygirl Tuhao";"Tuhao Heygirl";"Heygirl Tuhao";"Tuhao Heygirl";"Tuhao Heygirl";"土\t豪\t黑\t盒\t娘";"Tuhao Heygirl";"Tuhao Heygirl";"Tuhao Heygirl";"Tuhao Heygirl";"Tuhao Heygirl";"Tuhao Heygirl";"Tuhao Heygirl";"Tuhao Heygirl";"土\t豪\t黑\t盒\t娘";"Tuhao Heygirl";"Tuhao Heygirl";;
"attachables/dsr_1";"Modern Sniper Rifle (Germany)";"DSR-1";"Fucile DSR 1 (Germania)";"Modernes Scharfschützengewehr (Deutschland)";"Rifle de Francotirador Moderno (Alemania)";"Современная снайперская винтовка (Германия)";"Współczesny Karabin Snajperski (Niemcy)";"Moderní odstřelovací puška (Německo)";"Modern Nişancı Tüfeği (Almanya)";"现\t代\t狙\t击\t步\t枪 (德\t国)";"最新の\tスナイパーライフル（ドイツ）";"Sniper Moderna (Alemanha)";"Сучасна снайперська гвинтівка (Німеччина)";"Modern Sniper Rifle (Germany)";"Modern Sniper Rifle (Germany)";"현대 돌격소총 (독일)";"Современная снайперская винтовка (Германия)";"Modern Sniper Rifle (Germany)";"DSR-1";"Modern Sniper Rifle (Germany)";"Súng bắn tỉa hiện đại (Đức)";;
"attachables/decor_dakimakura_anime_omaneko";"Omaneko dakimakura (normal edition)";"Dakimakura Omaneko (édition standard)";"Omaneko dakimakura (edizione normale)";"Omaneko dakimakura (Normale Edition)";"Dakimakura Omaneko (edición normal)";"Omaneko dakimakura (normal edition)";"Dakimakura Omaneko (zwykła edycja)";"Omaneko dakimakura (normální edice)";"Omaneko dakimakura (normal versiyon)";"御\t前\t喵\t抱\t枕 (普\t通\t版)";"おまねこ\t抱き\t枕";"Omaneko dakimakura (edição normal)";"Omaneko dakimakura (звичайна версія)";"Omaneko dakimakura (normal edition)";"Omaneko dakimakura (normal edition)";"오마네코 다키마쿠라 (일반판)";"Omaneko dakimakura (normal edition)";"Omaneko dakimakura (normal edition)";"御\t前\t喵\t抱\t枕 (普\t通\t版)";"Omaneko dakimakura (normal edition)";"Gối ôm Omaneko (bản thường)";;
"attachables/decor_dakimakura_anime_omaneko/desc";"Japan Air Self-Defense Force official mascot character ""Omaneko"" special sleep acceleration device type 1";"Mascotte officielle de la JASDF ""Omaneko"", appareil spécial d'accélération du sommeil Type 1";"""Omaneko"" Personaggio Mascotte ufficiale delle Forze di Difesa Aerea Giapponese, dispositivo di accelerazione del sonno speciale tipo 1";"Spezielles Schlafbeschleunigungsgerät Typ 1 mit offiziellen ""Omenako""-Maskottchen der japanischen Verteidigungsluftstreitkräfte";"Mascota oficial de las Fuerzas Aéreas de Autodefensa de Japón ""Omaneko"", dispositivo especial de aceleración del sueño tipo 1";"Japan Air Self-Defense Force official mascot character ""Omaneko"" special sleep acceleration device type 1";"Oficjalna maskotka Japońskich Sił Samoobrony ""Omaneko"" specjalne urządzenie przyspieszające sen typu 1";"Oficiální maskot japonských sil vzdušné sebeobrany „Omaneko“ speciální zařízení pro urychlení spánku typu 1";"Japonya Hava Öz Savunma Kuvvetleri resmi maskot karakteri “Omaneko” özel uyku hızlandırma cihazı tip 1";"日\t本\t空\t中\t自\t卫\t队\t官\t方\t吉\t祥\t物 ""\t御\t前\t喵\t"" 特\t殊\t助\t眠\t装\t置 1 式";"航空自衛隊御前崎分屯基地公式\tマスコットキャラクター「おまねこ」\t特殊睡眠加速装置\t1型";"Mascote oficial das Forças de Defesa Aérea do Japão ""Omaneko"" dispositivo de aceleração de sono especial tipo 1";"Japan Air Self-Defense Force official mascot character ""Omaneko"" special sleep acceleration device type 1";"Japan Air Self-Defense Force official mascot character ""Omaneko"" special sleep acceleration device type 1";"Japan Air Self-Defense Force official mascot character ""Omaneko"" special sleep acceleration device type 1";"일본 항공자위대 공식 마스코트 ""오마네코"" 가 그려진 특별 수면 추진 장비 1형";"Japan Air Self-Defense Force official mascot character ""Omaneko"" special sleep acceleration device type 1";"Japan Air Self-Defense Force official mascot character ""Omaneko"" special sleep acceleration device type 1";"日\t本\t航\t空\t自\t衛\t隊\t官\t方\t吉\t祥\t物 ""\t御\t前\t喵\t"" 特\t殊\t助\t眠\t裝\t置 1 型";"Japan Air Self-Defense Force official mascot character ""Omaneko"" special sleep acceleration device type 1";"Thiết bị tăng tốc giấc ngủ đặc biệt linh vật chính thức của Lực lượng Phòng vệ Nhật Bản ""Omaneko"" loại 1";;
